rownames,score,unemp,wage,tuition,education,gender_female,gender_male,ethnicity_afam,ethnicity_hispanic,ethnicity_other,fcollege_no,fcollege_yes,mcollege_no,mcollege_yes,home_no,home_yes,urban_no,urban_yes,income_high,income_low,region_other,region_west,target
56,42.650001525878906,5.400000095367432,8.850000381469727,0.8498799800872803,12,False,True,True,False,False,True,False,True,False,False,True,True,False,False,True,True,False,0
57,60.04999923706055,5.400000095367432,8.850000381469727,0.8498799800872803,15,True,False,False,False,True,False,True,False,True,False,True,True,False,True,False,True,False,0
58,38.31999969482422,5.400000095367432,8.850000381469727,0.8498799800872803,12,True,False,False,False,True,True,False,True,False,True,False,True,False,False,True,True,False,0
59,65.87000274658203,5.400000095367432,8.850000381469727,0.8498799800872803,15,True,False,False,False,True,False,True,True,False,False,True,True,False,True,False,True,False,0
60,44.650001525878906,5.400000095367432,8.850000381469727,0.8498799800872803,13,False,True,False,False,True,True,False,True,False,False,True,True,False,False,True,True,False,0
61,57.7400016784668,5.5,8.09000015258789,0.8891500234603882,16,False,True,False,False,True,True,False,True,False,False,True,True,False,True,False,True,False,1
62,60.380001068115234,5.5,8.09000015258789,0.8891500234603882,12,False,True,False,False,True,False,True,True,False,False,True,True,False,True,False,True,False,1
63,62.77000045776367,5.5,8.09000015258789,0.8891500234603882,12,False,True,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,1
64,59.72999954223633,5.5,8.09000015258789,0.8891500234603882,16,False,True,False,False,True,True,False,True,False,False,True,True,False,False,True,True,False,1
65,57.060001373291016,5.5,8.09000015258789,0.8891500234603882,16,True,False,False,False,True,False,True,True,False,False,True,True,False,True,False,True,False,1
66,58.02000045776367,5.5,8.09000015258789,0.8891500234603882,15,True,False,False,False,True,True,False,True,False,False,True,True,False,False,True,True,False,1
67,54.7400016784668,5.5,8.09000015258789,0.8891500234603882,12,True,False,False,False,True,True,False,True,False,False,True,True,False,False,True,True,False,1
68,46.279998779296875,6.900000095367432,7.039999961853027,0.902999997138977,14,True,False,False,False,True,True,False,True,False,False,True,True,False,False,True,True,False,1
69,60.400001525878906,6.900000095367432,7.039999961853027,0.902999997138977,12,True,False,False,False,True,True,False,True,False,False,True,True,False,False,True,True,False,1
70,53.209999084472656,6.900000095367432,7.039999961853027,0.902999997138977,18,False,True,False,False,True,True,False,True,False,False,True,True,False,True,False,True,False,1
71,60.93000030517578,6.5,8.09000015258789,0.8891500234603882,14,True,False,False,False,True,True,False,True,False,False,True,True,False,False,True,True,False,1
72,48.439998626708984,6.5,8.09000015258789,0.8891500234603882,15,True,False,False,False,True,True,False,True,False,False,True,True,False,False,True,True,False,1
73,45.310001373291016,7.699999809265137,7.039999961853027,0.902999997138977,12,True,False,False,False,True,True,False,True,False,False,True,True,False,False,True,True,False,1
74,60.220001220703125,7.699999809265137,7.039999961853027,0.902999997138977,12,False,True,False,False,True,False,True,True,False,False,True,True,False,True,False,True,False,1
75,56.41999816894531,7.699999809265137,7.039999961853027,0.902999997138977,16,False,True,False,False,True,True,False,True,False,False,True,True,False,False,True,True,False,1
76,62.27000045776367,7.699999809265137,7.039999961853027,0.902999997138977,17,True,False,False,False,True,True,False,False,True,False,True,True,False,True,False,True,False,1
77,51.84000015258789,4.400000095367432,8.09000015258789,0.8891500234603882,18,False,True,False,False,True,False,True,False,True,True,False,True,False,True,False,True,False,0
78,57.54999923706055,4.400000095367432,8.09000015258789,0.8891500234603882,16,True,False,False,False,True,True,False,True,False,False,True,True,False,True,False,True,False,0
79,57.619998931884766,4.400000095367432,8.09000015258789,0.8891500234603882,12,True,False,False,False,True,False,True,True,False,False,True,True,False,True,False,True,False,0
80,57.5,4.400000095367432,8.09000015258789,0.8891500234603882,12,False,True,False,False,True,True,False,False,True,False,True,True,False,True,False,True,False,0
81,65.30999755859375,7.5,8.09000015258789,0.8891500234603882,16,False,True,False,False,True,False,True,True,False,False,True,True,False,False,True,True,False,0
82,50.619998931884766,7.5,8.09000015258789,0.8891500234603882,14,False,True,False,False,True,False,True,True,False,False,True,True,False,True,False,True,False,0
83,51.22999954223633,7.5,8.09000015258789,0.8891500234603882,15,False,True,False,False,True,True,False,True,False,False,True,True,False,False,True,True,False,0
84,53.54999923706055,7.5,8.09000015258789,0.8891500234603882,14,True,False,False,False,True,True,False,True,False,True,False,True,False,False,True,True,False,0
85,48.52000045776367,7.5,8.09000015258789,0.8891500234603882,12,True,False,False,False,True,True,False,True,False,False,True,True,False,False,True,True,False,0
86,43.40999984741211,7.5,8.09000015258789,0.8891500234603882,14,True,False,False,False,True,True,False,True,False,False,True,True,False,False,True,True,False,0
87,57.5,7.5,8.09000015258789,0.8891500234603882,14,True,False,False,False,True,True,False,True,False,False,True,True,False,False,True,True,False,0
88,51.31999969482422,5.900000095367432,7.090000152587891,1.385680079460144,15,True,False,False,False,True,True,False,True,False,False,True,True,False,False,True,True,False,1
89,36.369998931884766,5.900000095367432,7.090000152587891,1.385680079460144,12,True,False,False,False,True,True,False,True,False,True,False,True,False,False,True,True,False,1
90,43.79999923706055,5.900000095367432,7.090000152587891,1.385680079460144,12,True,False,False,False,True,True,False,True,False,False,True,True,False,False,True,True,False,1
91,45.13999938964844,5.900000095367432,7.090000152587891,1.385680079460144,12,True,False,False,False,True,True,False,True,False,False,True,True,False,True,False,True,False,1
92,63.2599983215332,5.900000095367432,7.090000152587891,1.385680079460144,16,True,False,False,False,True,True,False,True,False,False,True,True,False,False,True,True,False,1
93,51.31999969482422,5.900000095367432,7.090000152587891,1.385680079460144,17,True,False,False,False,True,False,True,False,True,False,True,True,False,False,True,True,False,1
94,44.22999954223633,5.900000095367432,7.090000152587891,1.385680079460144,12,False,True,False,False,True,True,False,True,False,False,True,True,False,False,True,True,False,1
95,42.93000030517578,5.300000190734863,8.09000015258789,0.8891500234603882,12,True,False,False,False,True,True,False,True,False,False,True,True,False,True,False,True,False,0
96,47.599998474121094,5.300000190734863,8.09000015258789,0.8891500234603882,12,True,False,False,False,True,True,False,True,False,False,True,True,False,False,True,True,False,0
97,56.470001220703125,5.300000190734863,8.09000015258789,0.8891500234603882,13,False,True,False,False,True,False,True,True,False,False,True,True,False,True,False,True,False,0
98,64.69000244140625,5.300000190734863,8.09000015258789,0.8891500234603882,16,False,True,False,False,True,True,False,True,False,False,True,True,False,False,True,True,False,0
99,62.349998474121094,5.300000190734863,8.09000015258789,0.8891500234603882,16,True,False,False,False,True,False,True,False,True,False,True,True,False,False,True,True,False,0
100,48.959999084472656,6.099999904632568,7.690000057220459,1.1120100021362305,12,True,False,False,False,True,True,False,True,False,False,True,True,False,False,True,True,False,1
101,40.279998779296875,6.099999904632568,7.690000057220459,1.1120100021362305,12,True,False,False,False,True,True,False,True,False,False,True,True,False,True,False,True,False,1
102,44.65999984741211,6.099999904632568,7.690000057220459,1.1120100021362305,12,False,True,False,False,True,True,False,True,False,False,True,True,False,False,True,True,False,1
103,65.45999908447266,6.099999904632568,7.690000057220459,1.1120100021362305,12,False,True,False,False,True,True,False,True,False,True,False,True,False,False,True,True,False,1
104,37.810001373291016,6.099999904632568,7.690000057220459,1.1120100021362305,12,True,False,False,False,True,True,False,True,False,False,True,True,False,False,True,True,False,1
105,66.94999694824219,6.099999904632568,7.690000057220459,1.1120100021362305,16,False,True,False,False,True,False,True,False,True,False,True,True,False,True,False,True,False,1
106,55.63999938964844,6.099999904632568,7.690000057220459,1.1120100021362305,16,True,False,False,False,True,True,False,True,False,False,True,True,False,True,False,True,False,1
107,51.279998779296875,6.5,8.09000015258789,0.8891500234603882,16,True,False,False,False,True,True,False,False,True,False,True,True,False,False,True,True,False,1
108,52.779998779296875,6.5,8.09000015258789,0.8891500234603882,14,True,False,False,False,True,True,False,True,False,False,True,True,False,False,True,True,False,1
109,64.5999984741211,6.5,8.09000015258789,0.8891500234603882,16,True,False,False,False,True,True,False,True,False,False,True,True,False,False,True,True,False,1
110,61.72999954223633,6.5,8.09000015258789,0.8891500234603882,16,True,False,False,False,True,False,True,True,False,False,True,True,False,False,True,True,False,1
111,50.810001373291016,5.400000095367432,8.09000015258789,0.8891500234603882,16,False,True,True,False,False,True,False,False,True,False,True,True,False,False,True,True,False,1
112,44.459999084472656,5.400000095367432,8.09000015258789,0.8891500234603882,12,False,True,False,False,True,False,True,False,True,False,True,True,False,True,False,True,False,1
113,41.58000183105469,13.5,7.690000057220459,1.1120100021362305,12,True,False,False,False,True,True,False,True,False,False,True,True,False,False,True,True,False,1
114,40.70000076293945,13.5,7.690000057220459,1.1120100021362305,12,True,False,False,False,True,True,False,True,False,True,False,True,False,False,True,True,False,1
115,39.630001068115234,13.5,7.690000057220459,1.1120100021362305,12,True,False,False,False,True,True,False,True,False,False,True,True,False,False,True,True,False,1
116,54.16999816894531,13.5,7.690000057220459,1.1120100021362305,12,True,False,False,False,True,True,False,True,False,False,True,True,False,False,True,True,False,1
117,38.95000076293945,13.5,7.690000057220459,1.1120100021362305,13,False,True,False,True,False,True,False,True,False,False,True,True,False,True,False,True,False,1
118,62.84000015258789,13.5,7.690000057220459,1.1120100021362305,15,True,False,False,False,True,True,False,True,False,False,True,True,False,False,True,True,False,1
119,64.4800033569336,8.699999809265137,8.850000381469727,0.8498799800872803,16,False,True,False,False,True,True,False,True,False,True,False,True,False,False,True,True,False,1
120,47.09000015258789,8.699999809265137,8.850000381469727,0.8498799800872803,12,True,False,False,False,True,True,False,True,False,False,True,True,False,True,False,True,False,1
121,50.95000076293945,8.699999809265137,8.850000381469727,0.8498799800872803,12,True,False,False,False,True,True,False,True,False,False,True,True,False,False,True,True,False,1
122,44.459999084472656,8.699999809265137,8.850000381469727,0.8498799800872803,12,False,True,False,False,True,True,False,True,False,False,True,True,False,True,False,True,False,1
123,58.88999938964844,8.699999809265137,8.850000381469727,0.8498799800872803,12,True,False,False,False,True,True,False,False,True,True,False,True,False,True,False,True,False,1
124,54.36000061035156,8.699999809265137,8.850000381469727,0.8498799800872803,16,True,False,True,False,False,True,False,True,False,False,True,True,False,False,True,True,False,1
125,45.290000915527344,8.699999809265137,8.850000381469727,0.8498799800872803,13,True,False,False,False,True,True,False,True,False,False,True,True,False,False,True,True,False,1
126,54.16999816894531,6.5,8.09000015258789,0.8891500234603882,15,True,False,False,False,True,True,False,True,False,False,True,True,False,False,True,True,False,0
127,52.7400016784668,6.5,8.09000015258789,0.8891500234603882,12,False,True,False,False,True,False,True,True,False,False,True,True,False,True,False,True,False,0
128,60.939998626708984,6.5,8.09000015258789,0.8891500234603882,12,False,True,False,False,True,True,False,True,False,False,True,True,False,False,True,True,False,0
129,40.18000030517578,6.5,8.09000015258789,0.8891500234603882,12,False,True,False,False,True,True,False,True,False,False,True,True,False,True,False,True,False,0
130,58.09000015258789,6.5,8.09000015258789,0.8891500234603882,12,True,False,False,False,True,True,False,False,True,False,True,True,False,False,True,True,False,0
131,54.2599983215332,6.5,8.09000015258789,0.8891500234603882,14,False,True,False,False,True,True,False,True,False,False,True,True,False,False,True,True,False,0
132,57.130001068115234,7.800000190734863,7.690000057220459,1.1120100021362305,16,True,False,False,False,True,False,True,True,False,False,True,True,False,True,False,True,False,1
133,64.9800033569336,7.800000190734863,7.690000057220459,1.1120100021362305,12,True,False,False,False,True,True,False,True,False,False,True,True,False,False,True,True,False,1
134,65.3499984741211,7.800000190734863,7.690000057220459,1.1120100021362305,14,False,True,False,False,True,True,False,True,False,True,False,True,False,False,True,True,False,1
135,55.959999084472656,7.800000190734863,7.690000057220459,1.1120100021362305,12,True,False,False,False,True,True,False,True,False,False,True,True,False,False,True,True,False,1
136,61.72999954223633,7.800000190734863,7.690000057220459,1.1120100021362305,16,True,False,False,False,True,True,False,True,False,False,True,True,False,True,False,True,False,1
137,56.349998474121094,7.800000190734863,7.690000057220459,1.1120100021362305,12,False,True,False,False,True,True,False,True,False,False,True,True,False,False,True,True,False,1
138,51.099998474121094,7.800000190734863,7.690000057220459,1.1120100021362305,13,False,True,False,False,True,True,False,True,False,False,True,True,False,True,False,True,False,1
139,39.52000045776367,7.800000190734863,7.690000057220459,1.1120100021362305,12,True,False,False,False,True,True,False,True,False,False,True,True,False,False,True,True,False,1
140,60.75,7.800000190734863,7.690000057220459,1.1120100021362305,16,True,False,False,False,True,False,True,False,True,False,True,True,False,False,True,True,False,1
141,38.189998626708984,7.800000190734863,7.690000057220459,1.1120100021362305,12,False,True,False,False,True,True,False,True,False,False,True,True,False,False,True,True,False,1
142,51.02000045776367,7.800000190734863,7.690000057220459,1.1120100021362305,16,True,False,False,False,True,True,False,True,False,False,True,True,False,False,True,True,False,1
143,53.650001525878906,7.800000190734863,7.690000057220459,1.1120100021362305,16,False,True,False,False,True,True,False,True,False,False,True,True,False,False,True,True,False,1
144,56.349998474121094,5.400000095367432,8.850000381469727,0.8498799800872803,15,False,True,False,False,True,True,False,True,False,False,True,True,False,True,False,True,False,0
145,52.95000076293945,5.400000095367432,8.850000381469727,0.8498799800872803,15,True,False,False,False,True,True,False,True,False,False,True,True,False,True,False,True,False,0
146,63.40999984741211,5.400000095367432,8.850000381469727,0.8498799800872803,13,False,True,False,False,True,True,False,True,False,False,True,True,False,False,True,True,False,0
147,66.16999816894531,5.400000095367432,8.850000381469727,0.8498799800872803,16,False,True,False,False,True,False,True,False,True,False,True,True,False,True,False,True,False,0
148,45.099998474121094,5.400000095367432,8.850000381469727,0.8498799800872803,13,False,True,False,False,True,True,False,True,False,False,True,True,False,True,False,True,False,0
149,66.94999694824219,5.400000095367432,8.850000381469727,0.8498799800872803,16,False,True,False,False,True,False,True,True,False,False,True,True,False,False,True,True,False,0
150,62.900001525878906,5.400000095367432,8.850000381469727,0.8498799800872803,18,True,False,False,False,True,False,True,True,False,False,True,True,False,True,False,True,False,0
151,52.97999954223633,7.199999809265137,8.850000381469727,0.8498799800872803,13,False,True,False,False,True,False,True,False,True,False,True,True,False,True,False,True,False,0
152,62.290000915527344,7.199999809265137,8.850000381469727,0.8498799800872803,13,True,False,False,False,True,True,False,False,True,False,True,True,False,False,True,True,False,0
153,44.310001373291016,7.199999809265137,8.850000381469727,0.8498799800872803,12,False,True,False,False,True,True,False,False,True,False,True,True,False,False,True,True,False,0
154,64.11000061035156,4.400000095367432,8.09000015258789,0.8891500234603882,16,True,False,False,False,True,False,True,True,False,False,True,True,False,False,True,True,False,1
155,58.619998931884766,4.400000095367432,8.09000015258789,0.8891500234603882,13,False,True,False,False,True,True,False,True,False,False,True,True,False,True,False,True,False,1
156,56.91999816894531,4.400000095367432,8.09000015258789,0.8891500234603882,12,True,False,False,False,True,True,False,True,False,False,True,True,False,False,True,True,False,1
157,52.66999816894531,4.400000095367432,8.09000015258789,0.8891500234603882,12,True,False,False,False,True,True,False,True,False,False,True,True,False,False,True,True,False,1
158,64.83000183105469,4.400000095367432,8.09000015258789,0.8891500234603882,15,False,True,False,False,True,False,True,False,True,False,True,True,False,True,False,True,False,1
159,49.900001525878906,4.400000095367432,8.09000015258789,0.8891500234603882,12,False,True,False,False,True,True,False,True,False,False,True,True,False,False,True,True,False,1
160,62.54999923706055,4.400000095367432,8.09000015258789,0.8891500234603882,17,True,False,False,False,True,True,False,True,False,False,True,True,False,True,False,True,False,1
161,66.48999786376953,4.400000095367432,8.09000015258789,0.8891500234603882,17,False,True,False,False,True,True,False,True,False,False,True,True,False,True,False,True,False,1
162,62.13999938964844,4.400000095367432,8.09000015258789,0.8891500234603882,17,False,True,False,False,True,False,True,False,True,False,True,True,False,True,False,True,False,1
163,49.20000076293945,6.5,8.09000015258789,0.8891500234603882,13,False,True,False,False,True,True,False,True,False,False,True,False,True,False,True,True,False,0
164,51.470001220703125,6.5,8.09000015258789,0.8891500234603882,14,True,False,False,False,True,True,False,True,False,False,True,False,True,False,True,True,False,0
165,62.150001525878906,6.5,8.09000015258789,0.8891500234603882,14,True,False,False,False,True,True,False,True,False,False,True,False,True,False,True,True,False,0
166,43.2599983215332,6.5,8.09000015258789,0.8891500234603882,12,True,False,True,False,False,True,False,True,False,True,False,False,True,False,True,True,False,0
167,54.540000915527344,6.5,8.09000015258789,0.8891500234603882,12,True,False,False,False,True,True,False,False,True,True,False,False,True,False,True,True,False,0
168,58.720001220703125,6.5,8.09000015258789,0.8891500234603882,18,False,True,False,False,True,True,False,True,False,False,True,False,True,False,True,True,False,0
169,57.880001068115234,5.099999904632568,8.850000381469727,0.8498799800872803,13,True,False,False,False,True,False,True,False,True,False,True,True,False,True,False,True,False,0
170,68.5,5.099999904632568,8.850000381469727,0.8498799800872803,15,True,False,False,False,True,False,True,True,False,True,False,True,False,False,True,True,False,0
171,52.63999938964844,5.099999904632568,8.850000381469727,0.8498799800872803,15,False,True,False,False,True,True,False,False,True,False,True,True,False,True,False,True,False,0
172,37.540000915527344,8.199999809265137,7.690000057220459,1.1120100021362305,12,True,False,False,False,True,True,False,False,True,True,False,False,True,False,True,True,False,1
173,63.59000015258789,8.199999809265137,7.690000057220459,1.1120100021362305,16,False,True,False,False,True,True,False,True,False,True,False,False,True,False,True,True,False,1
174,49.900001525878906,8.199999809265137,7.690000057220459,1.1120100021362305,12,True,False,False,False,True,True,False,True,False,False,True,False,True,False,True,True,False,1
175,67.18000030517578,8.199999809265137,7.690000057220459,1.1120100021362305,15,False,True,False,False,True,False,True,False,True,False,True,False,True,False,True,True,False,1
176,61.02000045776367,8.199999809265137,7.690000057220459,1.1120100021362305,12,True,False,False,False,True,True,False,True,False,False,True,False,True,False,True,True,False,1
177,55.88999938964844,7.199999809265137,8.850000381469727,0.8498799800872803,16,True,False,False,False,True,True,False,True,False,False,True,True,False,True,False,True,False,0
178,59.2400016784668,10.399999618530272,7.690000057220459,1.1120100021362305,15,False,True,False,False,True,True,False,True,False,False,True,True,False,False,True,True,False,0
179,62.97999954223633,10.399999618530272,7.690000057220459,1.1120100021362305,18,False,True,False,False,True,False,True,True,False,False,True,True,False,True,False,True,False,0
180,51.08000183105469,10.399999618530272,7.690000057220459,1.1120100021362305,12,False,True,False,False,True,True,False,True,False,False,True,True,False,False,True,True,False,0
181,57.119998931884766,10.399999618530272,7.690000057220459,1.1120100021362305,15,True,False,False,False,True,True,False,True,False,False,True,True,False,True,False,True,False,0
182,60.40999984741211,10.399999618530272,7.690000057220459,1.1120100021362305,17,True,False,False,False,True,True,False,True,False,False,True,True,False,False,True,True,False,0
183,44.279998779296875,10.399999618530272,7.690000057220459,1.1120100021362305,12,True,False,False,False,True,True,False,True,False,False,True,True,False,False,True,True,False,0
184,53.04999923706055,5.5,8.09000015258789,0.8891500234603882,13,False,True,False,False,True,True,False,True,False,True,False,True,False,False,True,True,False,0
185,48.79999923706055,5.5,8.09000015258789,0.8891500234603882,12,True,False,False,False,True,True,False,True,False,False,True,True,False,False,True,True,False,0
186,53.59000015258789,5.5,8.09000015258789,0.8891500234603882,15,False,True,False,False,True,True,False,True,False,False,True,True,False,False,True,True,False,0
187,39.209999084472656,5.5,8.09000015258789,0.8891500234603882,12,False,True,False,False,True,True,False,True,False,False,True,True,False,False,True,True,False,0
188,65.93000030517578,5.099999904632568,8.850000381469727,0.8498799800872803,14,True,False,False,False,True,False,True,False,True,False,True,False,True,False,True,True,False,1
189,56.08000183105469,5.099999904632568,8.850000381469727,0.8498799800872803,16,True,False,False,False,True,True,False,False,True,False,True,False,True,False,True,True,False,1
190,63.130001068115234,5.099999904632568,8.850000381469727,0.8498799800872803,17,False,True,False,False,True,True,False,False,True,False,True,False,True,True,False,True,False,1
191,58.369998931884766,5.099999904632568,8.850000381469727,0.8498799800872803,16,True,False,False,False,True,True,False,True,False,False,True,False,True,False,True,True,False,1
