gender,ethnicity,fcollege,mcollege,home,urban,income,region,distance,education
male,white,yes,no,yes,rural,31938,east,180.17254760263413,15
male,asian,yes,yes,yes,rural,55195,south,129.97493142713134,17
male,black,no,yes,no,rural,24000,east,226.6204234144155,13
male,white,no,no,yes,urban,90588,west,16.15797555482523,17
female,other,yes,no,yes,urban,58304,north,139.88175358447285,13
female,hispanic,no,no,no,urban,89449,south,205.6033604360931,17
female,asian,no,no,yes,rural,40764,south,301.39094101164926,18
female,hispanic,no,no,no,rural,58494,west,135.47882125756493,12
female,hispanic,no,no,no,rural,23373,north,66.59256261187485,12
male,white,no,yes,yes,urban,32161,north,38.10018979958157,11
female,hispanic,yes,no,no,rural,47350,south,470.2659135676917,19
female,other,no,no,yes,rural,45351,east,208.3195288692396,12
male,hispanic,yes,yes,no,rural,35305,south,290.5813105904131,12
female,white,yes,yes,no,rural,95353,north,459.5882759177798,14
male,other,no,yes,yes,urban,96797,west,41.37421001765307,14
female,black,yes,yes,no,urban,85953,south,438.33074296289635,11
male,hispanic,yes,no,no,rural,77458,north,275.793936272035,19
female,white,yes,no,no,urban,40358,south,82.41713056850047,15
female,black,no,no,no,urban,23267,east,205.62755829268454,14
male,black,no,no,no,rural,58513,south,388.8011418676128,15
male,asian,yes,no,yes,rural,46092,south,240.18504093317733,10
male,other,no,no,no,urban,31338,north,492.6430253327522,14
male,hispanic,no,yes,yes,rural,20412,north,188.36948496897037,18
male,white,no,no,no,urban,27543,north,374.789149988036,19
male,asian,no,yes,yes,rural,53496,south,196.49472448942956,11
male,other,yes,yes,yes,urban,80692,east,414.5821103532572,10
male,asian,yes,no,no,rural,64425,west,284.5407345828738,19
female,other,no,yes,no,urban,58756,west,31.755914795000674,18
female,other,no,no,no,urban,38888,north,18.41093381799569,19
male,hispanic,yes,yes,yes,urban,55735,north,66.92605940031659,18
female,other,yes,no,no,rural,67295,south,6.835982413498643,18
female,asian,no,yes,yes,urban,37955,west,37.679530176231154,15
female,other,yes,no,yes,urban,57841,north,345.857198584456,17
female,hispanic,no,no,yes,rural,90640,east,267.17313751473154,10
male,hispanic,no,no,no,rural,85510,east,374.9553747349859,19
female,asian,yes,no,no,urban,54911,north,456.5828761288214,13
male,black,yes,no,yes,urban,79031,north,292.57476616273595,10
female,black,no,yes,yes,rural,27357,west,363.06042203592403,17
female,other,no,yes,no,rural,52479,west,378.5406010212279,10
female,white,yes,yes,yes,rural,81476,south,188.9252746378932,12
male,other,no,no,no,rural,64811,west,120.54241616481592,13
female,asian,yes,yes,yes,rural,56208,east,102.52266425326245,17
male,asian,no,no,no,urban,40150,east,125.72121975589923,15
female,asian,yes,no,yes,rural,91180,north,137.36589851295437,19
male,asian,yes,yes,no,urban,63286,west,103.61382450402823,16
female,asian,yes,yes,yes,urban,88450,south,439.1103337395961,17
male,hispanic,no,no,no,urban,41352,east,378.4995660861143,11
male,black,no,yes,no,rural,75069,east,23.44823389560996,19
female,asian,yes,no,yes,urban,34397,south,134.3362410126537,17
male,white,no,no,yes,urban,61555,south,11.092371015150814,12
female,white,yes,no,no,rural,66959,east,249.08259332294648,16
female,white,yes,no,yes,urban,20728,east,238.10534839450708,12
female,white,no,no,no,urban,70517,south,415.68574503125063,16
female,hispanic,no,yes,yes,rural,86234,east,153.88861988552472,11
female,white,yes,yes,no,urban,59954,north,408.1928676065312,19
female,asian,no,no,no,urban,67280,north,483.98688271991153,15
female,other,no,no,no,urban,99459,south,44.20411168282329,12
female,white,yes,yes,no,rural,36779,west,395.90891973481644,12
female,hispanic,yes,yes,no,rural,83932,south,294.977948568818,18
female,hispanic,no,no,no,rural,92936,south,240.02298350923758,16
female,white,yes,yes,yes,urban,44466,west,210.26788933253755,14
male,other,yes,no,yes,urban,56939,west,392.33413197215475,19
